rep	segment	sample	fov	infected_cells	spots	median_intensity	mean_radius	spots_per_infected_cell	plp
rep1	NA	10PLP	fov_7	60	4256	0.0028839551	3	70.93333333333334	10
rep1	NA	10PLP	fov_8	67	5916	0.0032043946	3	88.29850746268657	10
rep1	NA	10PLP	fov_9	1	10	0.009216449250000001	5	10	10
rep1	NA	1PLP	fov_0	26	190	0.0026398108	3	7.3076923076923075	1
rep1	NA	1PLP	fov_1	17	123	0.0026398108	3	7.235294117647059	1
rep1	NA	1PLP	fov_2	18	162	0.0025329976	3	9	1
rep1	NA	1PLP	fov_3	15	116	0.00336461435	3	7.733333333333333	1
rep1	NA	1PLP	fov_4	27	205	0.00343328	3	7.592592592592593	1
rep1	NA	1PLP	fov_5	38	294	0.0030594339	3	7.7368421052631575	1
rep1	NA	1PLP	fov_6	27	196	0.0027237355	3	7.2592592592592595	1
rep1	NA	1PLP	fov_7	12	100	0.0023651484	3	8.333333333333334	1
rep1	NA	1PLP	fov_8	13	122	0.0022964828	3	9.384615384615385	1
rep1	NA	1PLP	fov_9	29	232	0.002014191	3	8	1
rep1	NA	2PLP	fov_0	63	3367	0.003555352	3	53.44444444444444	2
rep1	NA	2PLP	fov_1	81	4060	0.00343328	3	50.123456790123456	2
rep1	NA	2PLP	fov_2	85	3046	0.003540093	3	35.83529411764706	2
rep1	NA	2PLP	fov_3	66	2985	0.0038300145	3	45.22727272727273	2
rep1	NA	2PLP	fov_4	69	3025	0.0045929654	3	43.84057971014493	2
rep1	NA	2PLP	fov_5	84	2219	0.0060730907	3	26.416666666666668	2
rep1	NA	2PLP	fov_6	122	5427	0.0039215684	3	44.48360655737705	2
rep1	NA	2PLP	fov_7	69	3022	0.0033875029	3	43.79710144927536	2
rep1	NA	2PLP	fov_8	77	2399	0.003494316	3	31.155844155844157	2
rep1	NA	2PLP	fov_9	67	3162	0.003463798	3	47.19402985074627	2
rep1	NA	3PLP	fov_0	99	4707	0.0040589	3	47.54545454545455	3
