rep	moi	hpi	fov	molecule	nucleus	spots	spots_per_infected_cell	mean_n
0	0.3 MOI	3	0	mRNA	cytoplasm	114	4.56	10.14097077397731
0	0.3 MOI	3	0	mRNA	nucleus	36	1.44	10.14097077397731
0	0.3 MOI	3	0	vRNA	cytoplasm	48	1.92	4.402037853989452
0	0.3 MOI	3	0	vRNA	nucleus	21	0.8400000000000001	4.402037853989452
0	0.3 MOI	3	1	mRNA	cytoplasm	76	3.04	10.14097077397731
0	0.3 MOI	3	1	mRNA	nucleus	70	2.8	10.14097077397731
0	0.3 MOI	3	1	vRNA	cytoplasm	11	0.44000000000000006	4.402037853989452
0	0.3 MOI	3	1	vRNA	nucleus	24	0.96	4.402037853989452
0	0.3 MOI	3	2	mRNA	cytoplasm	135	3.75	10.14097077397731
0	0.3 MOI	3	2	mRNA	nucleus	63	1.75	10.14097077397731
0	0.3 MOI	3	2	vRNA	cytoplasm	42	1.1666666666666667	4.402037853989452
0	0.3 MOI	3	2	vRNA	nucleus	34	0.9444444444444444	4.402037853989452
0	0.3 MOI	3	3	mRNA	cytoplasm	394	7.296296296296297	10.14097077397731
0	0.3 MOI	3	3	mRNA	nucleus	183	3.388888888888889	10.14097077397731
0	0.3 MOI	3	3	vRNA	cytoplasm	93	1.7222222222222223	4.402037853989452
0	0.3 MOI	3	3	vRNA	nucleus	61	1.1296296296296295	4.402037853989452
0	0.3 MOI	3	4	mRNA	cytoplasm	401	10.025	10.14097077397731
0	0.3 MOI	3	4	mRNA	nucleus	147	3.675	10.14097077397731
0	0.3 MOI	3	4	vRNA	cytoplasm	87	2.175	4.402037853989452
0	0.3 MOI	3	4	vRNA	nucleus	54	1.3499999999999999	4.402037853989452
0	0.3 MOI	3	5	mRNA	cytoplasm	328	6.9787234042553195	10.14097077397731
0	0.3 MOI	3	5	mRNA	nucleus	164	3.4893617021276597	10.14097077397731
0	0.3 MOI	3	5	vRNA	cytoplasm	74	1.574468085106383	4.402037853989452
0	0.3 MOI	3	5	vRNA	nucleus	46	0.9787234042553191	4.402037853989452
0	0.3 MOI	3	6	mRNA	cytoplasm	337	7.659090909090909	10.14097077397731
0	0.3 MOI	3	6	mRNA	nucleus	127	2.8863636363636362	10.14097077397731
0	0.3 MOI	3	6	vRNA	cytoplasm	73	1.6590909090909092	4.402037853989452
0	0.3 MOI	3	6	vRNA	nucleus	35	0.7954545454545454	4.402037853989452
0	0.3 MOI	3	7	mRNA	cytoplasm	211	4.0576923076923075	10.14097077397731
0	0.3 MOI	3	7	mRNA	nucleus	116	2.230769230769231	10.14097077397731
0	0.3 MOI	3	7	vRNA	cytoplasm	71	1.3653846153846154	4.402037853989452
0	0.3 MOI	3	7	vRNA	nucleus	33	0.6346153846153846	4.402037853989452
0	0.3 MOI	4	0	mRNA	cytoplasm	295	5.086206896551724	13.721613376119324
0	0.3 MOI	4	0	mRNA	nucleus	157	2.706896551724138	13.721613376119324
0	0.3 MOI	4	0	vRNA	cytoplasm	81	1.396551724137931	3.599537922084073
0	0.3 MOI	4	0	vRNA	nucleus	82	1.4137931034482758	3.599537922084073
0	0.3 MOI	4	1	mRNA	cytoplasm	386	5.938461538461539	13.721613376119324
0	0.3 MOI	4	1	mRNA	nucleus	220	3.3846153846153846	13.721613376119324
0	0.3 MOI	4	1	vRNA	cytoplasm	103	1.5846153846153848	3.599537922084073
0	0.3 MOI	4	1	vRNA	nucleus	73	1.123076923076923	3.599537922084073
0	0.3 MOI	4	2	mRNA	cytoplasm	395	6.9298245614035086	13.721613376119324
0	0.3 MOI	4	2	mRNA	nucleus	227	3.982456140350877	13.721613376119324
0	0.3 MOI	4	2	vRNA	cytoplasm	115	2.017543859649123	3.599537922084073
0	0.3 MOI	4	2	vRNA	nucleus	97	1.7017543859649122	3.599537922084073
0	0.3 MOI	4	3	mRNA	cytoplasm	451	6.938461538461539	13.721613376119324
0	0.3 MOI	4	3	mRNA	nucleus	201	3.0923076923076924	13.721613376119324
0	0.3 MOI	4	3	vRNA	cytoplasm	135	2.076923076923077	3.599537922084073
0	0.3 MOI	4	3	vRNA	nucleus	74	1.1384615384615384	3.599537922084073
0	0.3 MOI	4	4	mRNA	cytoplasm	357	5.758064516129033	13.721613376119324
0	0.3 MOI	4	4	mRNA	nucleus	206	3.32258064516129	13.721613376119324
0	0.3 MOI	4	4	vRNA	cytoplasm	110	1.7741935483870968	3.599537922084073
0	0.3 MOI	4	4	vRNA	nucleus	96	1.5483870967741935	3.599537922084073
0	0.3 MOI	4	5	mRNA	cytoplasm	466	7.0606060606060606	13.721613376119324
0	0.3 MOI	4	5	mRNA	nucleus	284	4.303030303030303	13.721613376119324
0	0.3 MOI	4	5	vRNA	cytoplasm	139	2.106060606060606	3.599537922084073
0	0.3 MOI	4	5	vRNA	nucleus	99	1.5	3.599537922084073
0	0.3 MOI	4	6	mRNA	cytoplasm	596	9.03030303030303	13.721613376119324
0	0.3 MOI	4	6	mRNA	nucleus	273	4.136363636363637	13.721613376119324
0	0.3 MOI	4	6	vRNA	cytoplasm	114	1.7272727272727273	3.599537922084073
0	0.3 MOI	4	6	vRNA	nucleus	94	1.4242424242424243	3.599537922084073
0	0.3 MOI	4	7	mRNA	cytoplasm	350	5.072463768115942	13.721613376119324
0	0.3 MOI	4	7	mRNA	nucleus	162	2.347826086956522	13.721613376119324
0	0.3 MOI	4	7	vRNA	cytoplasm	93	1.3478260869565217	3.599537922084073
0	0.3 MOI	4	7	vRNA	nucleus	96	1.391304347826087	3.599537922084073
0	0.3 MOI	5	0	mRNA	cytoplasm	316	6.869565217391304	15.953183184479805
0	0.3 MOI	5	0	mRNA	nucleus	121	2.630434782608696	15.953183184479805
0	0.3 MOI	5	0	vRNA	cytoplasm	83	1.8043478260869565	4.423596187745813
0	0.3 MOI	5	0	vRNA	nucleus	77	1.6739130434782608	4.423596187745813
0	0.3 MOI	5	1	mRNA	cytoplasm	435	7.909090909090909	15.953183184479805
0	0.3 MOI	5	1	mRNA	nucleus	145	2.6363636363636362	15.953183184479805
0	0.3 MOI	5	1	vRNA	cytoplasm	95	1.7272727272727273	4.423596187745813
0	0.3 MOI	5	1	vRNA	nucleus	75	1.3636363636363635	4.423596187745813
0	0.3 MOI	5	2	mRNA	cytoplasm	583	9.403225806451612	15.953183184479805
0	0.3 MOI	5	2	mRNA	nucleus	292	4.709677419354839	15.953183184479805
0	0.3 MOI	5	2	vRNA	cytoplasm	140	2.258064516129032	4.423596187745813
0	0.3 MOI	5	2	vRNA	nucleus	121	1.9516129032258065	4.423596187745813
0	0.3 MOI	5	3	mRNA	cytoplasm	879	14.40983606557377	15.953183184479805
0	0.3 MOI	5	3	mRNA	nucleus	304	4.983606557377049	15.953183184479805
0	0.3 MOI	5	3	vRNA	cytoplasm	156	2.5573770491803276	4.423596187745813
0	0.3 MOI	5	3	vRNA	nucleus	174	2.8524590163934427	4.423596187745813
0	0.3 MOI	5	4	mRNA	cytoplasm	617	12.098039215686274	15.953183184479805
0	0.3 MOI	5	4	mRNA	nucleus	300	5.88235294117647	15.953183184479805
0	0.3 MOI	5	4	vRNA	cytoplasm	139	2.7254901960784315	4.423596187745813
0	0.3 MOI	5	4	vRNA	nucleus	176	3.4509803921568625	4.423596187745813
0	0.3 MOI	5	5	mRNA	cytoplasm	594	11	15.953183184479805
0	0.3 MOI	5	5	mRNA	nucleus	271	5.018518518518518	15.953183184479805
0	0.3 MOI	5	5	vRNA	cytoplasm	122	2.259259259259259	4.423596187745813
0	0.3 MOI	5	5	vRNA	nucleus	108	2	4.423596187745813
0	0.3 MOI	5	6	mRNA	cytoplasm	459	8.345454545454546	15.953183184479805
0	0.3 MOI	5	6	mRNA	nucleus	171	3.109090909090909	15.953183184479805
0	0.3 MOI	5	6	vRNA	cytoplasm	120	2.1818181818181817	4.423596187745813
0	0.3 MOI	5	6	vRNA	nucleus	99	1.8	4.423596187745813
0	0.3 MOI	5	7	mRNA	cytoplasm	480	8.135593220338983	15.953183184479805
0	0.3 MOI	5	7	mRNA	nucleus	169	2.864406779661017	15.953183184479805
0	0.3 MOI	5	7	vRNA	cytoplasm	105	1.7796610169491527	4.423596187745813
0	0.3 MOI	5	7	vRNA	nucleus	117	1.9830508474576272	4.423596187745813
0	0.3 MOI	6	0	mRNA	cytoplasm	241	11.476190476190476	11.777683899141216
0	0.3 MOI	6	0	mRNA	nucleus	111	5.285714285714286	11.777683899141216
0	0.3 MOI	6	0	vRNA	cytoplasm	31	1.476190476190476	3.1749914978147853
0	0.3 MOI	6	0	vRNA	nucleus	71	3.380952380952381	3.1749914978147853
0	0.3 MOI	6	1	mRNA	cytoplasm	568	13.523809523809524	11.777683899141216
0	0.3 MOI	6	1	mRNA	nucleus	344	8.19047619047619	11.777683899141216
0	0.3 MOI	6	1	vRNA	cytoplasm	73	1.7380952380952381	3.1749914978147853
0	0.3 MOI	6	1	vRNA	nucleus	97	2.3095238095238093	3.1749914978147853
0	0.3 MOI	6	2	mRNA	cytoplasm	481	9.620000000000001	11.777683899141216
0	0.3 MOI	6	2	mRNA	nucleus	139	2.78	11.777683899141216
0	0.3 MOI	6	2	vRNA	cytoplasm	47	0.94	3.1749914978147853
0	0.3 MOI	6	2	vRNA	nucleus	196	3.92	3.1749914978147853
0	0.3 MOI	6	3	mRNA	cytoplasm	24	0.6153846153846154	11.777683899141216
0	0.3 MOI	6	3	mRNA	nucleus	9	0.23076923076923075	11.777683899141216
0	0.3 MOI	6	3	vRNA	cytoplasm	19	0.48717948717948717	3.1749914978147853
0	0.3 MOI	6	3	vRNA	nucleus	2	0.05128205128205128	3.1749914978147853
0	0.3 MOI	6	4	mRNA	cytoplasm	805	20.641025641025642	11.777683899141216
0	0.3 MOI	6	4	mRNA	nucleus	314	8.051282051282051	11.777683899141216
0	0.3 MOI	6	4	vRNA	cytoplasm	75	1.9230769230769231	3.1749914978147853
0	0.3 MOI	6	4	vRNA	nucleus	149	3.8205128205128207	3.1749914978147853
0	0.3 MOI	6	5	mRNA	cytoplasm	749	19.710526315789473	11.777683899141216
0	0.3 MOI	6	5	mRNA	nucleus	264	6.947368421052631	11.777683899141216
0	0.3 MOI	6	5	vRNA	cytoplasm	68	1.7894736842105263	3.1749914978147853
0	0.3 MOI	6	5	vRNA	nucleus	87	2.289473684210526	3.1749914978147853
0	0.3 MOI	6	6	mRNA	cytoplasm	642	15.285714285714286	11.777683899141216
0	0.3 MOI	6	6	mRNA	nucleus	313	7.4523809523809526	11.777683899141216
0	0.3 MOI	6	6	vRNA	cytoplasm	70	1.6666666666666665	3.1749914978147853
0	0.3 MOI	6	6	vRNA	nucleus	150	3.571428571428571	3.1749914978147853
0	0.3 MOI	6	7	mRNA	cytoplasm	617	15.424999999999999	11.777683899141216
0	0.3 MOI	6	7	mRNA	nucleus	177	4.425	11.777683899141216
0	0.3 MOI	6	7	vRNA	cytoplasm	87	2.1750000000000003	3.1749914978147853
0	0.3 MOI	6	7	vRNA	nucleus	165	4.125	3.1749914978147853
0	0.3 MOI	6	8	mRNA	cytoplasm	682	16.634146341463413	11.777683899141216
0	0.3 MOI	6	8	mRNA	nucleus	180	4.390243902439025	11.777683899141216
0	0.3 MOI	6	8	vRNA	cytoplasm	90	2.1951219512195124	3.1749914978147853
0	0.3 MOI	6	8	vRNA	nucleus	113	2.75609756097561	3.1749914978147853
0	0.3 MOI	7	0	mRNA	cytoplasm	840	24.705882352941178	15.224123371126904
0	0.3 MOI	7	0	mRNA	nucleus	289	8.5	15.224123371126904
0	0.3 MOI	7	0	vRNA	cytoplasm	369	10.852941176470587	5.7031810610602545
0	0.3 MOI	7	0	vRNA	nucleus	375	11.029411764705882	5.7031810610602545
0	0.3 MOI	7	1	mRNA	cytoplasm	1603	28.12280701754386	15.224123371126904
0	0.3 MOI	7	1	mRNA	nucleus	378	6.631578947368421	15.224123371126904
0	0.3 MOI	7	1	vRNA	cytoplasm	402	7.052631578947368	5.7031810610602545
0	0.3 MOI	7	1	vRNA	nucleus	544	9.543859649122806	5.7031810610602545
0	0.3 MOI	7	2	mRNA	cytoplasm	1950	39	15.224123371126904
0	0.3 MOI	7	2	mRNA	nucleus	452	9.04	15.224123371126904
0	0.3 MOI	7	2	vRNA	cytoplasm	392	7.84	5.7031810610602545
0	0.3 MOI	7	2	vRNA	nucleus	434	8.68	5.7031810610602545
0	0.3 MOI	7	3	mRNA	cytoplasm	1301	37.17142857142857	15.224123371126904
0	0.3 MOI	7	3	mRNA	nucleus	371	10.6	15.224123371126904
0	0.3 MOI	7	3	vRNA	cytoplasm	476	13.6	5.7031810610602545
0	0.3 MOI	7	3	vRNA	nucleus	312	8.914285714285715	5.7031810610602545
0	0.3 MOI	7	4	mRNA	cytoplasm	1281	37.6764705882353	15.224123371126904
0	0.3 MOI	7	4	mRNA	nucleus	444	13.058823529411764	15.224123371126904
0	0.3 MOI	7	4	vRNA	cytoplasm	440	12.941176470588236	5.7031810610602545
0	0.3 MOI	7	4	vRNA	nucleus	333	9.794117647058822	5.7031810610602545
0	0.3 MOI	7	5	mRNA	cytoplasm	1598	30.150943396226417	15.224123371126904
0	0.3 MOI	7	5	mRNA	nucleus	521	9.830188679245284	15.224123371126904
0	0.3 MOI	7	5	vRNA	cytoplasm	807	15.226415094339623	5.7031810610602545
0	0.3 MOI	7	5	vRNA	nucleus	561	10.584905660377359	5.7031810610602545
0	0.3 MOI	7	6	mRNA	cytoplasm	1589	26.48333333333333	15.224123371126904
0	0.3 MOI	7	6	mRNA	nucleus	642	10.7	15.224123371126904
0	0.3 MOI	7	6	vRNA	cytoplasm	545	9.083333333333334	5.7031810610602545
0	0.3 MOI	7	6	vRNA	nucleus	407	6.783333333333333	5.7031810610602545
0	0.3 MOI	7	7	mRNA	cytoplasm	1146	25.466666666666665	15.224123371126904
0	0.3 MOI	7	7	mRNA	nucleus	330	7.333333333333333	15.224123371126904
0	0.3 MOI	7	7	vRNA	cytoplasm	622	13.822222222222223	5.7031810610602545
0	0.3 MOI	7	7	vRNA	nucleus	329	7.311111111111111	5.7031810610602545
0	0.3 MOI	8	0	mRNA	cytoplasm	1102	25.045454545454547	18.17018331505002
0	0.3 MOI	8	0	mRNA	nucleus	208	4.7272727272727275	18.17018331505002
0	0.3 MOI	8	0	vRNA	cytoplasm	805	18.295454545454547	9.142022144120347
0	0.3 MOI	8	0	vRNA	nucleus	413	9.386363636363637	9.142022144120347
0	0.3 MOI	8	1	mRNA	cytoplasm	1190	24.285714285714285	18.17018331505002
0	0.3 MOI	8	1	mRNA	nucleus	276	5.63265306122449	18.17018331505002
0	0.3 MOI	8	1	vRNA	cytoplasm	639	13.040816326530612	9.142022144120347
0	0.3 MOI	8	1	vRNA	nucleus	514	10.489795918367347	9.142022144120347
0	0.3 MOI	8	2	mRNA	cytoplasm	1038	27.31578947368421	18.17018331505002
0	0.3 MOI	8	2	mRNA	nucleus	187	4.921052631578947	18.17018331505002
0	0.3 MOI	8	2	vRNA	cytoplasm	710	18.68421052631579	9.142022144120347
0	0.3 MOI	8	2	vRNA	nucleus	293	7.7105263157894735	9.142022144120347
0	0.3 MOI	8	3	mRNA	cytoplasm	1568	47.515151515151516	18.17018331505002
0	0.3 MOI	8	3	mRNA	nucleus	236	7.151515151515151	18.17018331505002
0	0.3 MOI	8	3	vRNA	cytoplasm	726	22	9.142022144120347
0	0.3 MOI	8	3	vRNA	nucleus	273	8.272727272727273	9.142022144120347
0	0.3 MOI	8	4	mRNA	cytoplasm	1673	55.766666666666666	18.17018331505002
0	0.3 MOI	8	4	mRNA	nucleus	280	9.333333333333334	18.17018331505002
0	0.3 MOI	8	4	vRNA	cytoplasm	724	24.133333333333333	9.142022144120347
0	0.3 MOI	8	4	vRNA	nucleus	278	9.266666666666667	9.142022144120347
0	0.3 MOI	8	5	mRNA	cytoplasm	1310	27.872340425531913	18.17018331505002
0	0.3 MOI	8	5	mRNA	nucleus	296	6.297872340425532	18.17018331505002
0	0.3 MOI	8	5	vRNA	cytoplasm	620	13.191489361702128	9.142022144120347
0	0.3 MOI	8	5	vRNA	nucleus	350	7.446808510638299	9.142022144120347
0	0.3 MOI	8	6	mRNA	cytoplasm	1118	22.816326530612244	18.17018331505002
0	0.3 MOI	8	6	mRNA	nucleus	160	3.2653061224489797	18.17018331505002
0	0.3 MOI	8	6	vRNA	cytoplasm	1072	21.877551020408163	9.142022144120347
0	0.3 MOI	8	6	vRNA	nucleus	477	9.73469387755102	9.142022144120347
0	0.3 MOI	8	7	mRNA	cytoplasm	1105	26.951219512195124	18.17018331505002
0	0.3 MOI	8	7	mRNA	nucleus	182	4.439024390243903	18.17018331505002
0	0.3 MOI	8	7	vRNA	cytoplasm	1118	27.26829268292683	9.142022144120347
0	0.3 MOI	8	7	vRNA	nucleus	475	11.585365853658537	9.142022144120347
0	1.0 MOI	0	0	mRNA	cytoplasm	83	1.8863636363636365	1.7887053848309689
0	1.0 MOI	0	0	mRNA	nucleus	20	0.45454545454545453	1.7887053848309689
