total	type	round	fraction	fov
1417	missing	1	0.0014114326040931546	6
1417	additionalAndMissing	1	0	6
1417	correct	2	0.9731827805222301	6
1417	additional	2	0.025405786873676783	6
1417	missing	2	0.0014114326040931546	6
1417	additionalAndMissing	2	0	6
1417	correct	3	0.9654199011997178	6
1417	additional	3	0.032462949894142556	6
1417	missing	3	0.002117148906139732	6
1417	additionalAndMissing	3	0	6
1417	correct	4	0.9611856033874383	6
1417	additional	4	0.03669724770642202	6
1417	missing	4	0.002117148906139732	6
1417	additionalAndMissing	4	0	6
1417	correct	5	0.9315455187014821	6
1417	additional	5	0.05998588567395907	6
1417	missing	5	0.008468595624558928	6
1417	additionalAndMissing	5	0	6
1417	correct	6	0.913196894848271	6
1417	additional	6	0.07410021171489062	6
1417	missing	6	0.011291460832745237	6
1417	additionalAndMissing	6	0.0014114326040931546	6
2204	correct	1	0.8507259528130672	7
2204	additional	1	0.14882032667876588	7
2204	missing	1	0	7
2204	additionalAndMissing	1	4.5372050816696913e-4	7
2204	correct	2	0.8480036297640653	7
2204	additional	2	0.1515426497277677	7
2204	missing	2	0	7
2204	additionalAndMissing	2	4.5372050816696913e-4	7
2204	correct	3	0.837568058076225	7
2204	additional	3	0.161978221415608	7
2204	missing	3	0	7
2204	additionalAndMissing	3	4.5372050816696913e-4	7
2204	correct	4	0.8194192377495463	7
2204	additional	4	0.18012704174228675	7
2204	missing	4	0	7
2204	additionalAndMissing	4	4.5372050816696913e-4	7
2204	correct	5	0.7803992740471869	7
2204	additional	5	0.21007259528130673	7
2204	missing	5	0.006805807622504537	7
2204	additionalAndMissing	5	0.0027223230490018148	7
2204	correct	6	0.6955535390199638	7
2204	additional	6	0.29219600725952816	7
2204	missing	6	0.004990925589836661	7
2204	additionalAndMissing	6	0.007259528130671506	7
2196	correct	1	0.9480874316939891	8
2196	additional	1	0.05145719489981785	8
2196	missing	1	4.553734061930783e-4	8
2196	additionalAndMissing	1	0	8
2196	correct	2	0.9353369763205829	8
2196	additional	2	0.06420765027322405	8
2196	missing	2	0	8
2196	additionalAndMissing	2	4.553734061930783e-4	8
2196	correct	3	0.9285063752276868	8
2196	additional	3	0.07103825136612021	8
2196	missing	3	0	8
2196	additionalAndMissing	3	4.553734061930783e-4	8
2196	correct	4	0.8852459016393442	8
2196	additional	4	0.11429872495446267	8
2196	missing	4	0	8
2196	additionalAndMissing	4	4.553734061930783e-4	8
2196	correct	5	0.8642987249544627	8
2196	additional	5	0.12932604735883424	8
2196	missing	5	0.00546448087431694	8
2196	additionalAndMissing	5	9.107468123861566e-4	8
2196	correct	6	0.8283242258652095	8
2196	additional	6	0.16393442622950818	8
2196	missing	6	0.006830601092896175	8
2196	additionalAndMissing	6	9.107468123861566e-4	8
1668	correct	1	0.9568345323741008	9
1668	additional	1	0.04196642685851319	9
1668	missing	1	5.995203836930455e-4	9
1668	additionalAndMissing	1	5.995203836930455e-4	9
1668	correct	2	0.947242206235012	9
1668	additional	2	0.05155875299760192	9
1668	missing	2	5.995203836930455e-4	9
1668	additionalAndMissing	2	5.995203836930455e-4	9
1668	correct	3	0.9406474820143885	9
