rep	segment	sample	fov	n_cells	spots	median_intensity	mean_radius	spots_per_cell	sample_type	plp
rep1	NA	Neg_4PLP	fov_3	1	1	0.009079118	3	1	negative	4
rep1	NA	Neg_4PLP	fov_4	1	1	0.009094377	3	1	negative	4
rep1	NA	Neg_4PLP	fov_5	1	1	0.009475852	3	1	negative	4
rep1	NA	Neg_5PLP	fov_0	5	5	0.0017090105	3	1	negative	5
rep1	NA	Neg_5PLP	fov_1	9	12	0.0013580529499999999	3	1.3333333333333333	negative	5
rep1	NA	Neg_5PLP	fov_2	6	6	0.00155642025	3	1	negative	5
rep1	NA	Neg_5PLP	fov_3	8	8	0.00184634165	3	1	negative	5
rep1	NA	Neg_5PLP	fov_4	11	16	0.001747158	3	1.4545454545454546	negative	5
rep1	NA	Neg_5PLP	fov_5	10	12	0.0018005646	3	1.2	negative	5
rep1	NA	Neg_6PLP	fov_0	1	1	0.008468757	3	1	negative	6
rep1	NA	Neg_6PLP	fov_1	2	2	0.00524910365	4	1	negative	6
rep1	NA	Neg_6PLP	fov_2	2	2	0.006027314	4	1	negative	6
rep1	NA	Neg_6PLP	fov_3	1	1	0.0092622265	3	1	negative	6
rep1	NA	Neg_6PLP	fov_4	2	2	0.0052643623	4	1	negative	6
rep1	NA	Neg_6PLP	fov_5	1	1	0.008957046	3	1	negative	6
rep1	NA	Neg_7PLP	fov_0	1	1	0.0067750057	3	1	negative	7
rep1	NA	Neg_7PLP	fov_1	3	4	0.0016479743499999999	3	1.3333333333333333	negative	7
rep1	NA	Neg_7PLP	fov_2	2	2	0.00473792635	4	1	negative	7
rep1	NA	Neg_7PLP	fov_3	5	5	0.0018616007	3	1	negative	7
rep1	NA	Neg_7PLP	fov_4	3	3	0.0021820401	3	1	negative	7
rep1	NA	Neg_7PLP	fov_5	5	5	0.0016784924	3	1	negative	7
rep1	NA	Neg_8PLP	fov_0	3	3	0.0044861524	5	1	negative	8
rep1	NA	Neg_8PLP	fov_1	1	1	0.006347753	3	1	negative	8
rep1	NA	Neg_8PLP	fov_2	13	15	0.0016632334	3	1.1538461538461537	negative	8
rep1	NA	Neg_8PLP	fov_3	2	2	0.004539559	4	1	negative	8
rep1	NA	Neg_8PLP	fov_4	3	3	0.0018463416	3	1	negative	8
rep1	NA	Neg_8PLP	fov_5	1	1	0.006485084	3	1	negative	8
rep1	NA	Neg_9PLP	fov_0	1	2	0.0031128406700000003	3	2	negative	9
rep1	NA	Neg_9PLP	fov_1	1	2	0.00369268315	3	2	negative	9
rep1	NA	Neg_9PLP	fov_2	10	27	0.0013427939	3	2.7	negative	9
rep1	NA	Neg_9PLP	fov_3	11	21	0.0015106432	3	1.9090909090909092	negative	9
rep1	NA	Neg_9PLP	fov_4	1	1	0.0068055238	3	1	negative	9
rep1	NA	Neg_9PLP	fov_5	1	1	0.006363012	3	1	negative	9
rep2	NA	Neg_10PLP	fov_0	3	3	0.0024567025	3	1	negative	10
rep2	NA	Neg_10PLP	fov_1	1	1	0.008682383	3	1	negative	10
rep2	NA	Neg_10PLP	fov_2	1	1	0.00889601	3	1	negative	10
rep2	NA	Neg_10PLP	fov_3	1	1	0.008346685	3	1	negative	10
rep2	NA	Neg_10PLP	fov_4	1	1	0.008438239	3	1	negative	10
rep2	NA	Neg_10PLP	fov_5	1	1	0.0083924625	3	1	negative	10
rep2	NA	Neg_1PLP	fov_0	5	6	0.0023880369	3	1.2	negative	1
rep2	NA	Neg_1PLP	fov_1	9	10	0.0021362631	3	1.1111111111111112	negative	1
rep2	NA	Neg_1PLP	fov_2	5	5	0.0036011292	3	1	negative	1
rep2	NA	Neg_1PLP	fov_3	8	12	0.0020981155	3	1.5	negative	1
rep2	NA	Neg_1PLP	fov_4	9	10	0.0019607843	3	1.1111111111111112	negative	1
rep2	NA	Neg_1PLP	fov_5	8	8	0.0022125582	3	1	negative	1
rep2	NA	Neg_2PLP	fov_0	2	2	0.00660715665	3	1	negative	2
rep2	NA	Neg_2PLP	fov_1	1	1	0.009216449	3	1	negative	2
rep2	NA	Neg_2PLP	fov_2	1	1	0.008499275	3	1	negative	2
rep2	NA	Neg_2PLP	fov_3	1	1	0.008941786	3	1	negative	2
rep2	NA	Neg_2PLP	fov_4	1	1	0.008545052	3	1	negative	2
rep2	NA	Neg_2PLP	fov_5	1	1	0.00920119	3	1	negative	2
rep2	NA	Neg_3PLP	fov_0	1	1	0.008911269	3	1	negative	3
rep2	NA	Neg_3PLP	fov_1	2	2	0.006248569650000001	3	1	negative	3
rep2	NA	Neg_3PLP	fov_2	2	2	0.0060654611500000006	4	1	negative	3
rep2	NA	Neg_3PLP	fov_3	2	2	0.00551613625	3	1	negative	3
rep2	NA	Neg_3PLP	fov_4	1	1	0.008834974	3	1	negative	3
rep2	NA	Neg_3PLP	fov_5	1	1	0.008819714	3	1	negative	3
rep2	NA	Neg_4PLP	fov_0	1	1	0.008743419	3	1	negative	4
rep2	NA	Neg_4PLP	fov_1	1	1	0.008712902	3	1	negative	4
rep2	NA	Neg_4PLP	fov_2	16	40	0.0012970168499999999	3	2.5	negative	4
rep2	NA	Neg_4PLP	fov_3	2	2	0.00530251025	3	1	negative	4
rep2	NA	Neg_4PLP	fov_4	1	1	0.008484016	3	1	negative	4
rep2	NA	Neg_4PLP	fov_5	1	1	0.0087281605	3	1	negative	4
rep2	NA	Neg_5PLP	fov_0	12	12	0.0016784923999999999	3	1	negative	5
rep2	NA	Neg_5PLP	fov_1	15	16	0.0017929350999999999	3	1.0666666666666667	negative	5
rep2	NA	Neg_5PLP	fov_2	20	22	0.0018463416	3	1.1	negative	5
rep2	NA	Neg_5PLP	fov_3	25	32	0.00183871215	3	1.28	negative	5
rep2	NA	Neg_5PLP	fov_4	24	40	0.00163271535	3	1.6666666666666667	negative	5
rep2	NA	Neg_5PLP	fov_5	13	16	0.0017547875499999998	3	1.2307692307692308	negative	5
rep2	NA	Neg_6PLP	fov_0	2	2	0.0058899825	3	1	negative	6
rep2	NA	Neg_6PLP	fov_1	1	1	0.008667124	3	1	negative	6
rep2	NA	Neg_6PLP	fov_2	3	3	0.0021972992	3	1	negative	6
