rep	segment	sample	fov	n_cells	spots	median_intensity	mean_radius	spots_per_cell	sample_type	plp
rep1	HA	Neg_2PLP	fov_4	1	1	0.006698711	3	1	negative	2
rep1	HA	Neg_2PLP	fov_5	1	1	0.007095445	3	1	negative	2
rep1	HA	Neg_3PLP	fov_0	2	2	0.0037994964500000002	3	1	negative	3
rep1	HA	Neg_3PLP	fov_1	2	2	0.00369268335	3	1	negative	3
rep1	HA	Neg_3PLP	fov_2	1	1	0.0065766387	3	1	negative	3
rep1	HA	Neg_3PLP	fov_3	2	2	0.0040588997	3	1	negative	3
rep1	HA	Neg_3PLP	fov_4	2	2	0.0041428246	3	1	negative	3
rep1	HA	Neg_3PLP	fov_5	2	2	0.0044556344	3	1	negative	3
rep1	HA	Neg_4PLP	fov_0	1	1	0.006820783	3	1	negative	4
rep1	HA	Neg_4PLP	fov_1	1	1	0.006210422	3	1	negative	4
rep1	HA	Neg_4PLP	fov_2	1	1	0.006317235	3	1	negative	4
rep1	HA	Neg_4PLP	fov_3	1	1	0.0065918975	3	1	negative	4
rep1	HA	Neg_4PLP	fov_4	1	1	0.006927596	3	1	negative	4
rep1	HA	Neg_4PLP	fov_5	1	1	0.006134127	3	1	negative	4
rep1	HA	Neg_5PLP	fov_0	1	1	0.008484016	3	1	negative	5
rep1	HA	Neg_5PLP	fov_1	1	1	0.008072022	3	1	negative	5
rep1	HA	Neg_5PLP	fov_2	1	1	0.009109636	3	1	negative	5
rep1	HA	Neg_5PLP	fov_3	1	1	0.009018082	3	1	negative	5
rep1	HA	Neg_5PLP	fov_4	1	1	0.007919433	3	1	negative	5
rep1	HA	Neg_5PLP	fov_5	1	1	0.008911269	3	1	negative	5
rep1	HA	Neg_6PLP	fov_0	1	1	0.009216449	3	1	negative	6
rep1	HA	Neg_6PLP	fov_1	2	2	0.00500495895	3	1	negative	6
rep1	HA	Neg_6PLP	fov_2	1	1	0.0085297935	3	1	negative	6
rep1	HA	Neg_6PLP	fov_3	10	19	0.0013122759	3	1.9	negative	6
rep1	HA	Neg_6PLP	fov_4	2	2	0.0051194018	3	1	negative	6
rep1	HA	Neg_6PLP	fov_5	4	4	0.0035706111	3	1	negative	6
rep1	HA	Neg_7PLP	fov_0	1	1	0.009292744	3	1	negative	7
rep1	HA	Neg_7PLP	fov_1	2	2	0.00546272975	4	1	negative	7
rep1	HA	Neg_7PLP	fov_2	2	2	0.0053330282	3	1	negative	7
rep1	HA	Neg_7PLP	fov_3	3	3	0.0023498894	3	1	negative	7
rep1	HA	Neg_7PLP	fov_4	2	2	0.0054093233	3	1	negative	7
rep1	HA	Neg_7PLP	fov_5	2	2	0.0055619137499999995	3	1	negative	7
rep1	HA	Neg_8PLP	fov_0	2	2	0.00521858525	4	1	negative	8
rep1	HA	Neg_8PLP	fov_1	1	1	0.008636607	3	1	negative	8
rep1	HA	Neg_8PLP	fov_2	2	2	0.006858930300000001	4	1	negative	8
rep1	HA	Neg_8PLP	fov_3	1	1	0.008285649	3	1	negative	8
rep1	HA	Neg_8PLP	fov_4	2	2	0.0053711758	3	1	negative	8
rep1	HA	Neg_8PLP	fov_5	1	1	0.008743419	3	1	negative	8
rep1	HA	Neg_9PLP	fov_0	1	1	0.006698711	3	1	negative	9
rep1	HA	Neg_9PLP	fov_1	1	1	0.0065918975	3	1	negative	9
rep1	HA	Neg_9PLP	fov_2	1	1	0.0321355	3	1	negative	9
rep1	HA	Neg_9PLP	fov_3	2	2	0.00561532015	4	1	negative	9
rep1	HA	Neg_9PLP	fov_4	1	1	0.006759747	3	1	negative	9
rep1	HA	Neg_9PLP	fov_5	1	1	0.0065308614	3	1	negative	9
rep2	HA	Neg_10PLP	fov_0	54	75	0.0025635157	3	1.3888888888888888	negative	10
rep2	HA	Neg_10PLP	fov_1	37	50	0.00226596475	3	1.3513513513513513	negative	10
rep2	HA	Neg_10PLP	fov_2	27	40	0.00233463035	3	1.4814814814814814	negative	10
rep2	HA	Neg_10PLP	fov_3	3	46	0.0360418085	3	15.333333333333334	negative	10
rep2	HA	Neg_10PLP	fov_4	22	32	0.0028305485	3	1.4545454545454546	negative	10
rep2	HA	Neg_10PLP	fov_5	15	21	0.002792401	3	1.4	negative	10
rep2	HA	Neg_10PLP	fov_6	14	17	0.0019531548	3	1.2142857142857142	negative	10
rep2	HA	Neg_10PLP	fov_7	19	56	0.018310826500000002	3	2.9473684210526314	negative	10
rep2	HA	Neg_10PLP	fov_8	62	82	0.00241855495	3	1.3225806451612903	negative	10
rep2	HA	Neg_10PLP	fov_9	57	79	0.0029144732	3	1.3859649122807018	negative	10
rep2	HA	Neg_1PLP	fov_0	1	1	0.0083924625	3	1	negative	1
rep2	HA	Neg_1PLP	fov_1	3	3	0.008850233	3	1	negative	1
rep2	HA	Neg_1PLP	fov_2	1	1	0.008636607	3	1	negative	1
rep2	HA	Neg_1PLP	fov_3	1	1	0.008407721	3	1	negative	1
rep2	HA	Neg_1PLP	fov_4	1	1	0.008667124	3	1	negative	1
rep2	HA	Neg_1PLP	fov_5	1	1	0.020965897	3	1	negative	1
rep2	HA	Neg_2PLP	fov_0	1	17	0.00982681	5	17	negative	2
rep2	HA	Neg_2PLP	fov_1	3	23	0.006149386	3	7.666666666666667	negative	2
rep2	HA	Neg_2PLP	fov_2	1	1	0.006286717	3	1	negative	2
rep2	HA	Neg_2PLP	fov_3	1	1	0.006408789	3	1	negative	2
rep2	HA	Neg_2PLP	fov_4	1	1	0.006134127	3	1	negative	2
rep2	HA	Neg_2PLP	fov_5	9	10	0.0015487907	3	1.1111111111111112	negative	2
rep2	HA	Neg_3PLP	fov_0	1	1	0.03166247	3	1	negative	3
rep2	HA	Neg_3PLP	fov_1	1	2	0.00415045395	4	2	negative	3
rep2	HA	Neg_3PLP	fov_2	1	1	0.005874723	3	1	negative	3
rep2	HA	Neg_3PLP	fov_3	2	2	0.00350957505	3	1	negative	3
rep2	HA	Neg_3PLP	fov_4	4	4	0.0018844892000000001	3	1	negative	3
rep2	HA	Neg_3PLP	fov_5	2	2	0.00434882125	3	1	negative	3
rep2	HA	Neg_4PLP	fov_0	1	1	0.006698711	3	1	negative	4
rep2	HA	Neg_4PLP	fov_1	1	1	0.0072327764	3	1	negative	4
rep2	HA	Neg_4PLP	fov_2	1	1	0.0068513006	3	1	negative	4
rep2	HA	Neg_4PLP	fov_3	1	1	0.00701915	3	1	negative	4
rep2	HA	Neg_4PLP	fov_4	2	2	0.00414282445	3	1	negative	4
rep2	HA	Neg_4PLP	fov_5	1	1	0.0065766387	3	1	negative	4
rep2	HA	Neg_5PLP	fov_0	1	1	0.00827039	3	1	negative	5
rep2	HA	Neg_5PLP	fov_1	1	1	0.007965209	3	1	negative	5
rep2	HA	Neg_5PLP	fov_2	1	1	0.008361944	3	1	negative	5
rep2	HA	Neg_5PLP	fov_3	1	1	0.0076447697	3	1	negative	5
