rep	segment	sample	fov	infected_cells	spots	median_intensity	mean_radius	spots_per_infected_cell	plp
rep4	HA	6PLP	fov_0	114	6077	0.0047150375	3	53.30701754385965	6
rep4	HA	6PLP	fov_1	101	4746	0.0042572673	3	46.99009900990099	6
rep4	HA	6PLP	fov_2	87	5612	0.0039673457	3	64.50574712643679	6
rep4	HA	6PLP	fov_3	81	4895	0.004745556	3	60.4320987654321	6
rep4	HA	6PLP	fov_4	89	5032	0.0047760736	3	56.53932584269663	6
rep4	HA	6PLP	fov_5	69	4636	0.00504310675	3	67.18840579710145	6
rep4	HA	6PLP	fov_6	74	3737	0.0036316472	3	50.5	6
rep4	HA	6PLP	fov_7	100	5079	0.0037689784	3	50.79	6
rep4	HA	6PLP	fov_8	114	3991	0.0036774243	3	35.00877192982456	6
rep4	HA	6PLP	fov_9	119	5259	0.004013123	3	44.19327731092437	6
rep4	HA	8PLP	fov_0	108	6784	0.0041428244999999995	3	62.81481481481482	8
rep4	HA	8PLP	fov_1	104	4760	0.004882887	3	45.76923076923077	8
rep4	HA	8PLP	fov_2	80	5903	0.004959182	3	73.7875	8
rep4	HA	8PLP	fov_3	84	4684	0.0043259327	3	55.76190476190476	8
rep4	HA	8PLP	fov_4	35	5323	0.004333562	3	152.0857142857143	8
rep4	HA	8PLP	fov_5	89	4339	0.00468452	3	48.752808988764045	8
rep4	HA	8PLP	fov_6	53	4487	0.004150454	3	84.66037735849056	8
rep4	HA	8PLP	fov_7	70	5146	0.004089418	3	73.51428571428572	8
rep4	HA	8PLP	fov_8	87	4046	0.00514229	3	46.50574712643678	8
rep4	HA	8PLP	fov_9	119	5148	0.0049897004	3	43.260504201680675	8
